date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2016-11-29,2560,new,1,,hemanta,1,8,15,30,0,mahanikaya,predicted,
2016-12-14,2560,full,1,,hemanta,2,8,15,30,0,mahanikaya,predicted,
2016-12-28,2560,new,2,,hemanta,3,8,14,29,0,mahanikaya,predicted,
2017-01-12,2560,full,2,,hemanta,4,8,15,29,0,mahanikaya,predicted,
2017-01-27,2560,new,3,,hemanta,5,8,15,30,0,mahanikaya,predicted,
2017-02-11,2560,full,3,magha,hemanta,6,8,15,30,0,mahanikaya,predicted,
2017-02-25,2560,new,4,,hemanta,7,8,14,29,0,mahanikaya,predicted,
2017-03-12,2560,full,4,,hemanta,8,8,15,29,0,mahanikaya,predicted,
2017-03-27,2560,new,5,,gimhana,1,8,15,30,0,mahanikaya,predicted,
2017-04-11,2560,full,5,,gimhana,2,8,15,30,0,mahanikaya,predicted,
2017-04-25,2560,new,6,,gimhana,3,8,14,29,0,mahanikaya,predicted,
2017-05-10,2560,full,6,visakha,gimhana,4,8,15,29,0,mahanikaya,predicted,
2017-05-25,2560,new,7,,gimhana,5,8,15,30,0,mahanikaya,predicted,
2017-06-09,2560,full,7,,gimhana,6,8,15,30,0,mahanikaya,predicted,
2017-06-23,2560,new,8,,gimhana,7,8,14,29,0,mahanikaya,predicted,
2017-07-08,2560,full,8,asalha,gimhana,8,8,15,29,0,mahanikaya,predicted,
2017-07-23,2560,new,9,,vassana,1,8,15,30,0,mahanikaya,predicted,
2017-08-07,2560,full,9,,vassana,2,8,15,30,0,mahanikaya,predicted,
2017-08-21,2560,new,10,,vassana,3,8,14,29,0,mahanikaya,predicted,
2017-09-05,2560,full,10,,vassana,4,8,15,29,0,mahanikaya,predicted,
2017-09-20,2560,new,11,,vassana,5,8,15,30,0,mahanikaya,predicted,
2017-10-05,2560,full,11,pavarana,vassana,6,8,15,30,0,mahanikaya,predicted,
2017-10-19,2560,new,12,,vassana,7,8,14,29,0,mahanikaya,predicted,
2017-11-03,2560,full,12,,vassana,8,8,15,29,0,mahanikaya,predicted,
