date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2015-12-10,2559,new,1,,hemanta,1,8,15,30,0,mahanikaya,predicted,
2015-12-25,2559,full,1,,hemanta,2,8,15,30,0,mahanikaya,predicted,
2016-01-08,2559,new,2,,hemanta,3,8,14,29,0,mahanikaya,predicted,
2016-01-23,2559,full,2,,hemanta,4,8,15,29,0,mahanikaya,predicted,
2016-02-07,2559,new,3,,hemanta,5,8,15,30,0,mahanikaya,predicted,
2016-02-22,2559,full,3,magha,hemanta,6,8,15,30,0,mahanikaya,predicted,bot.or.th
2016-03-07,2559,new,4,,hemanta,7,8,14,29,0,mahanikaya,predicted,
2016-03-22,2559,full,4,,hemanta,8,8,15,29,0,mahanikaya,predicted,
2016-04-06,2559,new,5,,gimhana,1,8,15,30,0,mahanikaya,predicted,
2016-04-21,2559,full,5,,gimhana,2,8,15,30,0,mahanikaya,predicted,
2016-05-05,2559,new,6,,gimhana,3,8,14,29,0,mahanikaya,predicted,
2016-05-20,2559,full,6,visakha,gimhana,4,8,15,29,0,mahanikaya,predicted,bot.or.th
2016-06-04,2559,new,7,,gimhana,5,8,15,30,0,mahanikaya,predicted,
2016-06-19,2559,full,7,,gimhana,6,8,15,30,0,mahanikaya,predicted,
2016-07-04,2559,new,8,,gimhana,7,8,15,30,1,mahanikaya,predicted,
2016-07-19,2559,full,8,asalha,gimhana,8,8,15,30,0,mahanikaya,predicted,bot.or.th
2016-08-03,2559,new,9,,vassana,1,8,15,30,0,mahanikaya,predicted,
2016-08-18,2559,full,9,,vassana,2,8,15,30,0,mahanikaya,predicted,
2016-09-01,2559,new,10,,vassana,3,8,14,29,0,mahanikaya,predicted,
2016-09-16,2559,full,10,,vassana,4,8,15,29,0,mahanikaya,predicted,
2016-10-01,2559,new,11,,vassana,5,8,15,30,0,mahanikaya,predicted,
2016-10-16,2559,full,11,pavarana,vassana,6,8,15,30,0,mahanikaya,predicted,
2016-10-30,2559,new,12,,vassana,7,8,14,29,0,mahanikaya,predicted,
2016-11-14,2559,full,12,,vassana,8,8,15,29,0,mahanikaya,predicted,
