date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2013-12-02,2557,new,1,,hemanta,1,8,15,30,0,mahanikaya,confirmed,
2013-12-17,2557,full,1,,hemanta,2,8,15,30,0,mahanikaya,confirmed,
2013-12-31,2557,new,2,,hemanta,3,8,14,29,0,mahanikaya,confirmed,
2014-01-15,2557,full,2,,hemanta,4,8,15,29,0,mahanikaya,confirmed,
2014-01-30,2557,new,3,,hemanta,5,8,15,30,0,mahanikaya,confirmed,
2014-02-14,2557,full,3,magha,hemanta,6,8,15,30,0,mahanikaya,confirmed,bot.or.th
2014-02-28,2557,new,4,,hemanta,7,8,14,29,0,mahanikaya,confirmed,
2014-03-15,2557,full,4,,hemanta,8,8,15,29,0,mahanikaya,confirmed,
2014-03-30,2557,new,5,,gimhana,1,8,15,30,0,mahanikaya,confirmed,
2014-04-14,2557,full,5,,gimhana,2,8,15,30,0,mahanikaya,confirmed,
2014-04-28,2557,new,6,,gimhana,3,8,14,29,0,mahanikaya,confirmed,
2014-05-13,2557,full,6,visakha,gimhana,4,8,15,29,0,mahanikaya,confirmed,bot.or.th
2014-05-28,2557,new,7,,gimhana,5,8,15,30,0,mahanikaya,confirmed,
2014-06-12,2557,full,7,,gimhana,6,8,15,30,0,mahanikaya,confirmed,
2014-06-26,2557,new,8,,gimhana,7,8,14,29,0,mahanikaya,confirmed,
2014-07-11,2557,full,8,asalha,gimhana,8,8,15,29,0,mahanikaya,confirmed,bot.or.th
2014-07-26,2557,new,9,,vassana,1,8,15,30,0,mahanikaya,confirmed,
2014-08-10,2557,full,9,,vassana,2,8,15,30,0,mahanikaya,confirmed,
2014-08-24,2557,new,10,,vassana,3,8,14,29,0,mahanikaya,confirmed,
2014-09-08,2557,full,10,,vassana,4,8,15,29,0,mahanikaya,confirmed,
2014-09-23,2557,new,11,,vassana,5,8,15,30,0,mahanikaya,confirmed,
2014-10-08,2557,full,11,pavarana,vassana,6,8,15,30,0,mahanikaya,confirmed,
2014-10-22,2557,new,12,,vassana,7,8,14,29,0,mahanikaya,confirmed,
2014-11-06,2557,full,12,,vassana,8,8,15,29,0,mahanikaya,confirmed,
