date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2003-11-23,2547,new,1,,hemanta,1,8,15,30,0,mahanikaya,predicted,
2003-12-08,2547,full,1,,hemanta,2,8,15,30,0,mahanikaya,predicted,
2003-12-22,2547,new,2,,hemanta,3,8,14,29,0,mahanikaya,confirmed,fs-cal
2004-01-06,2547,full,2,,hemanta,4,8,15,29,0,mahanikaya,confirmed,fs-cal
2004-01-21,2547,new,3,,hemanta,5,8,15,30,0,mahanikaya,confirmed,fs-cal
2004-02-05,2547,full,3,,hemanta,6,8,15,30,0,mahanikaya,confirmed,fs-cal
2004-02-19,2547,new,4,,hemanta,7,8,14,29,0,mahanikaya,confirmed,fs-cal
2004-03-05,2547,full,4,magha,hemanta,8,8,15,29,0,mahanikaya,confirmed,fs-cal
2004-03-20,2547,new,5,,gimhana,1,10,15,30,0,mahanikaya,confirmed,fs-cal
2004-04-04,2547,full,5,,gimhana,2,10,15,30,0,mahanikaya,confirmed,fs-cal
2004-04-18,2547,new,6,,gimhana,3,10,14,29,0,mahanikaya,confirmed,fs-cal
2004-05-03,2547,full,6,,gimhana,4,10,15,29,0,mahanikaya,confirmed,fs-cal
2004-05-18,2547,new,7,,gimhana,5,10,15,30,0,mahanikaya,confirmed,fs-cal
2004-06-02,2547,full,7,visakha,gimhana,6,10,15,30,0,mahanikaya,confirmed,fs-cal
2004-06-16,2547,new,8,,gimhana,7,10,14,29,0,mahanikaya,confirmed,fs-cal
2004-07-01,2547,full,8,,gimhana,8,10,15,29,0,mahanikaya,confirmed,fs-cal
2004-07-16,2547,new,“8/8”,,gimhana,9,10,15,30,0,mahanikaya,confirmed,fs-cal
2004-07-31,2547,full,“8/8”,asalha,gimhana,10,10,15,30,0,mahanikaya,confirmed,fs-cal
2004-08-15,2547,new,9,,vassana,1,8,15,30,0,mahanikaya,confirmed,fs-cal
2004-08-30,2547,full,9,,vassana,2,8,15,30,0,mahanikaya,confirmed,fs-cal
2004-09-13,2547,new,10,,vassana,3,8,14,29,0,mahanikaya,confirmed,fs-cal
2004-09-28,2547,full,10,,vassana,4,8,15,29,0,mahanikaya,confirmed,fs-cal
2004-10-13,2547,new,11,,vassana,5,8,15,30,0,mahanikaya,confirmed,fs-cal
2004-10-28,2547,full,11,pavarana,vassana,6,8,15,30,0,mahanikaya,confirmed,fs-cal
2004-11-11,2547,new,12,,vassana,7,8,14,29,0,mahanikaya,confirmed,fs-cal
2004-11-26,2547,full,12,,vassana,8,8,15,29,0,mahanikaya,confirmed,fs-cal
