date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2012-12-13,2556,new,1,,hemanta,1,8,15,30,0,mahanikaya,confirmed,
2012-12-28,2556,full,1,,hemanta,2,8,15,30,0,mahanikaya,confirmed,
2013-01-11,2556,new,2,,hemanta,3,8,14,29,0,mahanikaya,confirmed,
2013-01-26,2556,full,2,,hemanta,4,8,15,29,0,mahanikaya,confirmed,
2013-02-10,2556,new,3,,hemanta,5,8,15,30,0,mahanikaya,confirmed,
2013-02-25,2556,full,3,magha,hemanta,6,8,15,30,0,mahanikaya,confirmed,bot.or.th
2013-03-11,2556,new,4,,hemanta,7,8,14,29,0,mahanikaya,confirmed,
2013-03-26,2556,full,4,,hemanta,8,8,15,29,0,mahanikaya,confirmed,
2013-04-10,2556,new,5,,gimhana,1,8,15,30,0,mahanikaya,confirmed,
2013-04-25,2556,full,5,,gimhana,2,8,15,30,0,mahanikaya,confirmed,
2013-05-09,2556,new,6,,gimhana,3,8,14,29,0,mahanikaya,confirmed,
2013-05-24,2556,full,6,visakha,gimhana,4,8,15,29,0,mahanikaya,confirmed,bot.or.th
2013-06-08,2556,new,7,,gimhana,5,8,15,30,0,mahanikaya,confirmed,
2013-06-23,2556,full,7,,gimhana,6,8,15,30,0,mahanikaya,confirmed,
2013-07-07,2556,new,8,,gimhana,7,8,14,29,0,mahanikaya,confirmed,
2013-07-22,2556,full,8,asalha,gimhana,8,8,15,29,0,mahanikaya,confirmed,bot.or.th
2013-08-06,2556,new,9,,vassana,1,8,15,30,0,mahanikaya,confirmed,
2013-08-21,2556,full,9,,vassana,2,8,15,30,0,mahanikaya,confirmed,
2013-09-04,2556,new,10,,vassana,3,8,14,29,0,mahanikaya,confirmed,
2013-09-19,2556,full,10,,vassana,4,8,15,29,0,mahanikaya,confirmed,
2013-10-04,2556,new,11,,vassana,5,8,15,30,0,mahanikaya,confirmed,
2013-10-19,2556,full,11,pavarana,vassana,6,8,15,30,0,mahanikaya,confirmed,
2013-11-02,2556,new,12,,vassana,7,8,14,29,0,mahanikaya,confirmed,
2013-11-17,2556,full,12,,vassana,8,8,15,29,0,mahanikaya,confirmed,
