date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2012-03-07,2555,full,,magha,,,,,,,,,bot.or.th
2012-06-04,2555,full,,visakha,,,,,,,,,bot.or.th
2012-08-02,2555,full,,asalha,,,,,,,,,bot.or.th
