date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2007-03-05,2550,full,,magha,,,,,,,,,bot.or.th: Makha Bucha Day (Substitution Day for Saturday 3 March)
2007-05-31,2550,full,,visakha,,,,,,,,,bot.or.th
2007-07-30,2550,full,,asalha,,,,,,,,,bot.or.th: Asarnha Bucha Day (Substitution Day for Sunday 29 July)
