date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2011-02-18,2554,full,,magha,,,,,,,,,bot.or.th
2011-05-17,2554,full,,visakha,,,,,,,,,bot.or.th
2011-07-15,2554,full,,asalha,,,,,,,,,bot.or.th
