date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2008-02-21,2551,full,,magha,,,,,,,,,bot.or.th
2008-05-19,2551,full,,visakha,,,,,,,,,bot.or.th
2008-07-17,2551,full,,asalha,,,,,,,,,bot.or.th
