date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2005-02-23,2548,full,,magha,,,,,,,,,bot.or.th
2005-05-23,2548,full,,visakha,,,,,,,,,bot.or.th: Wisakha Bucha Day (Substitution Day for Sunday 22 May 2005)
2005-07-22,2548,full,,asalha,,,,,,,,,bot.or.th
