1985,2528,3,3
1988,2531,6,3
1990,2533,8,2
1993,2536,11,3
1996,2539,14,3
1999,2542,17,3
2001,2544,19,2
2004,2547,3,3
2007,2550,6,3
2009,2552,8,2
2012,2555,11,3
2015,2558,14,3
2018,2561,17,3
2020,2563,19,2
2023,2566,3,3
2026,2569,6,3
2028,2571,8,2
2031,2574,11,3
2034,2577,14,3
2037,2580,17,3
2039,2582,19,2
